Day,Events
19500926,2
19501013,1
19501017,1
19501031,1
19501103,1
19501106,1
19501113,1
19501117,1
19501121,1
19501123,1
19501125,1
19501201,2
19501208,2
19501213,1
19501215,1
19501219,1
19501222,1
19501230,1
19510112,1
19510113,1
19510114,1
19510116,1
19510117,1
19510128,1
19510131,1
19510201,1
19510203,1
19510214,1
19510302,1
19510311,1
19510321,2
19510322,1
19660715,1
19510326,1
19510402,1
19510406,1
19510408,1
19510409,1
19510425,1
19510428,1
19510506,1
19510508,1
19510518,1
19510603,1
19510606,1
19510615,1
19510622,1
19510629,3
19510630,1
19510712,1
19511113,1
19510716,1
19510720,1
19510721,1
19510724,1
19510729,1
19510808,1
19510811,1
19510817,2
19510824,1
19510908,1
19510912,1
19510915,2
19510929,1
19511008,1
19511015,1
19511017,1
19511022,1
19511027,1
19511105,1
19511119,1
19511121,1
19511124,1
19511127,1
19511204,1
19511213,1
19511216,1
19511223,1
19511229,2
19511230,1
19511231,1
19520102,1
19520110,1
19520119,1
19520122,1
19520204,1
19520207,1
19520211,1
19530107,2
19520216,1
19520219,1
19520228,1
19520303,1
19520310,2
19520312,1
19520322,1
19520324,1
19520326,1
19520329,1
19520330,1
19520405,1
19520409,1
19520410,1
19520411,1
19520418,1
19531215,1
19520429,1
19520430,1
19520505,1
19520509,1
19520513,1
19520524,1
19520526,1
19520613,1
19520624,1
19520625,1
19520727,1
19520812,1
19520821,1
19520826,1
19520829,1
19520906,1
19520910,1
19531217,1
19520915,1
19521008,1
19521014,1
19521016,1
19521029,1
19521106,1
19521107,1
19521114,1
19521115,2
19521117,1
19521122,1
19521128,2
19521206,1
19521220,1
19521221,2
19521225,1
19521230,1
19530105,1
19700213,1
19530115,1
19530126,1
19530202,1
19530203,1
19530207,1
19530209,1
19530214,1
19530303,1
19530304,1
19530314,1
19530317,1
19530318,2
19530320,2
19530327,1
19530329,1
19530410,1
19530414,1
19530416,1
19530420,1
19530502,1
19530507,1
19530509,2
19530511,1
19530517,1
19530525,1
19530615,1
19530616,1
19530617,1
19530618,2
19530712,1
19530717,1
19530727,2
19550929,1
19530803,1
19530805,1
19530818,1
19530901,1
19530908,1
19530914,1
19530916,2
19530925,1
19530928,1
19531014,1
19531017,1
19531019,1
19531029,1
19531103,1
19531111,1
19531204,1
19531212,1
19531219,1
19531221,1
19540102,1
19540105,1
19540106,1
19540110,2
19540111,1
19540113,1
19540114,1
19540120,1
19540201,1
19540205,1
19540212,1
19540225,1
19540226,1
19540304,1
19540313,1
19540314,1
19540319,1
19540326,2
19540403,2
19540404,1
19540408,1
19540413,1
19540423,1
19540430,1
19540522,1
19540531,1
19540603,1
19540604,1
19540608,1
19540619,1
19540702,1
19540723,1
19540808,1
19540809,1
19540812,1
19540816,1
19540822,1
19540823,1
19580516,1
19540827,1
19540905,2
19540912,1
19540915,1
19541024,1
19541030,1
19541031,1
19541116,2
19541130,1
19541204,1
19541212,1
19541218,1
19541222,1
19541225,1
19541229,1
19541231,1
19550111,1
19550112,1
19550119,1
19550131,1
19550202,1
19550205,1
19550213,1
19550219,1
19550223,1
19550306,1
19550308,1
19550309,1
19550320,1
19550322,1
19550326,1
19550402,1
19550404,1
19550411,1
19550418,1
19550518,1
19550521,1
19550526,1
19550603,1
19550616,1
19550618,1
19550714,1
19550717,1
19550727,1
19550804,1
19550806,1
19550811,1
19550826,1
19550830,1
19550902,1
19550908,1
19550910,1
19550917,1
19550921,1
19550924,1
19551002,1
19551006,2
19551010,1
19551101,1
19551117,1
19551120,1
19551130,1
19551201,1
19551217,1
19551219,1
19551221,1
19560112,1
19560117,1
19560118,1
19560128,1
19560213,1
19560214,1
19560217,1
19560218,1
19560220,1
19560224,1
19560225,2
19560321,1
19560328,1
19560331,1
19560401,1
19560402,1
19560409,2
19560418,1
19560430,1
19560515,1
19560524,1
19560620,1
19560624,1
19560630,1
19560709,1
19560713,1
19560716,2
19560808,1
19560829,1
19560909,1
19561002,1
19561010,1
19561016,1
19561019,1
19561028,1
19561105,1
19561107,2
19561115,1
19571018,1
19561117,1
19561124,1
19561127,2
19561208,1
19561209,1
19561212,1
19561222,1
19561230,1
19570106,1
19570111,1
19570123,1
19570129,1
19570131,1
19570201,1
19570222,1
19570302,1
19570305,1
19570309,1
19570314,1
19570317,1
19570318,1
19570322,1
19570407,1
19570408,1
19570410,1
19570415,1
19570417,1
19570420,3
19570501,1
19570505,1
19570509,1
19570513,1
19570614,1
19570618,1
19570622,1
19570623,1
19570701,1
19570716,1
19570725,1
19570811,1
19570815,1
19570820,1
19570829,1
19570903,1
19570915,1
19570918,1
19570928,1
19571003,1
19571023,1
19571028,1
19571030,2
19571106,1
19571109,1
19571115,1
19571121,1
19571208,2
19571210,1
19571211,1
19571223,1
19571231,2
19580116,1
19580120,1
19580201,1
19580515,1
19580206,2
19580219,1
19580220,1
19580227,1
19580307,1
19580322,1
19580324,1
19580325,1
19580327,1
19580402,1
19580406,1
19580407,1
19580414,1
19580421,1
19580518,1
19580520,2
19580525,2
19580531,1
19580602,1
19580604,1
19580616,1
19580625,1
19580627,1
19580709,2
19580809,1
19580812,2
19580814,3
19580815,1
19580902,1
19580905,1
19580908,1
19580909,1
19580915,1
19580929,1
19581009,1
19581014,1
19581015,1
19581017,1
19581018,1
19581022,1
19581101,1
19581103,1
19581108,1
19581109,1
19581116,1
19581204,1
19581224,1
19581226,1
19581230,1
19620113,1
19590106,1
19590108,1
19590111,1
19590114,1
19590116,1
19590121,1
19590122,2
19590127,1
19590201,1
19590203,1
19590217,1
19590218,1
19591121,2
19590305,1
19590312,1
19590313,1
19590329,1
19590330,1
19590417,2
19590423,1
19590429,1
19590502,1
19590512,1
19590513,1
19590515,1
19590521,1
19590601,1
19590623,1
19590626,1
19590630,1
19590803,1
19590814,1
19590815,1
19590819,1
19590827,1
19590902,2
19590908,1
19590912,1
19590923,1
19590924,1
19590929,1
19591026,2
19591029,1
19591030,1
19591104,1
19591116,1
19591124,1
19591201,1
19591208,1
19591213,1
19591217,1
19591221,1
19591222,1
19591224,1
19591231,1
19600103,1
19600106,1
19600110,1
19600118,1
19600119,1
19730511,3
19600121,1
19600126,1
19600205,1
19600226,1
19600315,1
19600316,1
19600317,1
19600319,1
19600405,1
19600412,1
19600414,1
19600418,1
19600419,1
19600420,1
19600422,1
19600428,1
19600515,1
19600907,1
19600518,1
19600523,1
19600610,1
19600614,1
19600624,1
19600706,1
19600710,1
19600711,1
19600714,1
19600715,2
19600719,1
19600727,1
19600731,1
19600801,1
19600817,1
19600824,1
19600829,1
19600919,1
19600922,1
19600926,1
19600928,1
19600929,1
19601004,1
19601014,1
19601015,1
19601021,1
19601028,1
19601029,1
19601105,1
19601107,1
19601123,1
19601207,1
19601211,1
19610403,1
19610510,1
19610524,1
19601216,1
19601217,1
19601222,1
19610102,1
19610103,1
19610119,1
19610122,1
19610124,1
19610126,1
19610128,1
19610203,1
19610215,1
19610309,1
19610325,1
19610328,1
19610529,1
19610530,1
19610612,1
19610617,1
19610630,1
19610710,1
19610711,1
19610712,1
19610719,1
19610721,1
19610806,1
19610809,1
19610813,1
19610829,1
19610901,1
19610905,2
19610906,1
19611229,1
19610910,1
19610912,2
19610917,1
19610923,1
19611007,2
19611010,1
19611101,1
19611108,1
19611111,1
19611123,1
19611130,1
19611204,1
19611212,1
19611215,1
19611221,1
19611224,1
19620122,2
19620127,1
19620204,1
19620225,1
19620301,3
19620304,2
19620306,1
19620308,1
19620315,1
19620320,1
19620327,1
19620406,1
19620422,1
19621012,1
19620506,1
19620508,1
19620509,2
19620512,1
19620515,1
19620517,1
19620522,1
19620603,1
19620604,1
19620622,1
19620628,1
19620630,1
19620706,1
19620707,1
19620709,1
19620715,1
19620716,1
19620719,1
19620722,1
19620728,1
19620730,1
19620801,1
19620820,1
19620823,1
19620824,3
19620902,1
19620903,1
19620904,1
19620910,2
19620921,1
19620923,1
19621010,1
19731012,1
19621019,3
19621025,1
19621110,1
19621119,1
19621123,1
19621126,2
19621127,1
19621130,1
19621206,1
19621214,1
19621219,1
19621220,1
19621222,1
19621228,1
19621229,1
19640310,1
19630114,1
19630115,1
19630117,1
19630126,1
19630129,1
19630130,1
19630201,1
19630203,1
19630208,2
19630212,1
19630228,1
19630302,1
19630305,1
19630315,2
19630320,1
19630323,2
19641120,1
19630330,2
19630414,1
19630503,1
19630512,1
19630603,1
19630610,1
19630616,1
19630623,1
19630626,1
19630701,1
19630702,1
19630703,1
19630713,1
19630715,1
19630717,1
19630727,1
19630808,1
19630812,2
19630814,1
19630817,1
19630821,1
19630828,1
19630904,1
19630911,1
19630922,1
19631009,1
19631014,1
19631018,1
19631020,1
19631022,1
